Ticker,std,r,VaR,ES
ENPH,0.053,0.003,-0.053,-0.918
AMD,0.037,0.002,-0.037,-1.928
SIRI,0.016,0.0,-0.016,-2.882
NVDA,0.027,0.002,-0.027,-3.236
FTNT,0.023,0.001,-0.023,-3.724
CZR,0.038,0.002,-0.038,-4.262
MRO,0.033,0.0,-0.033,-4.422
DXCM,0.03,0.002,-0.03,-5.116
F,0.02,0.001,-0.02,-5.308
HBAN,0.02,0.001,-0.02,-5.56
TSLA,0.036,0.003,-0.036,-5.835
LUMN,0.023,0.0,-0.023,-5.839
KDP,0.014,0.001,-0.014,-5.903
RF,0.022,0.001,-0.022,-6.359
AMCR,0.016,0.0,-0.016,-6.366
ROL,0.015,0.001,-0.015,-6.367
FCX,0.034,0.001,-0.034,-6.603
CSX,0.018,0.001,-0.018,-6.851
HPE,0.022,0.001,-0.022,-6.98
ON,0.028,0.001,-0.028,-7.311
HPQ,0.021,0.001,-0.021,-7.548
AES,0.019,0.001,-0.019,-7.711
KEY,0.022,0.001,-0.022,-7.774
GEN,0.02,0.001,-0.02,-7.968
CPRT,0.016,0.001,-0.016,-7.985
DVN,0.032,0.001,-0.032,-8.069
EQT,0.03,0.0,-0.03,-8.078
MRVL,0.024,0.001,-0.024,-8.169
PCG,0.038,0.0,-0.038,-8.277
ETSY,0.038,0.002,-0.038,-8.32
NI,0.015,0.001,-0.015,-8.556
IVZ,0.023,0.0,-0.023,-8.614
NDAQ,0.015,0.001,-0.015,-8.834
CCL,0.031,0.0,-0.031,-8.895
BSX,0.018,0.001,-0.018,-8.976
LCID,0.067,0.005,-0.067,-9.122
NRG,0.024,0.001,-0.024,-9.48
APA,0.036,0.0,-0.036,-9.512
VTRS,0.024,-0.0,-0.024,-9.7
KIM,0.021,0.0,-0.021,-9.854
NWSA,0.018,0.0,-0.018,-9.912
MU,0.029,0.001,-0.029,-10.033
NWS,0.018,0.0,-0.018,-10.177
HAL,0.028,0.0,-0.028,-10.384
HST,0.021,0.0,-0.021,-10.417
IPG,0.019,0.001,-0.019,-10.493
KMI,0.02,0.0,-0.02,-10.68
BAC,0.019,0.001,-0.019,-10.786
EW,0.02,0.001,-0.02,-10.933
MTCH,0.027,0.001,-0.027,-10.99
GLW,0.018,0.001,-0.018,-11.059
BBWI,0.03,0.001,-0.03,-11.42
AAL,0.031,0.001,-0.031,-11.435
NWL,0.023,0.0,-0.023,-11.599
WMB,0.027,0.001,-0.027,-11.75
NCLH,0.034,0.0,-0.034,-11.958
OXY,0.03,0.0,-0.03,-11.994
WBD,0.023,0.0,-0.023,-12.046
CSGP,0.02,0.001,-0.02,-12.086
STLD,0.024,0.001,-0.024,-12.088
TRGP,0.034,0.001,-0.034,-12.378
LUV,0.021,0.001,-0.021,-12.435
MOS,0.026,0.0,-0.026,-12.443
FITB,0.022,0.001,-0.022,-12.537
BKR,0.025,0.0,-0.025,-12.544
T,0.013,0.0,-0.013,-12.6
CNC,0.022,0.001,-0.022,-12.634
AMAT,0.023,0.001,-0.023,-12.682
MGM,0.028,0.001,-0.028,-12.984
CTRA,0.023,0.0,-0.023,-13.298
CDNS,0.018,0.001,-0.018,-13.408
TPR,0.026,0.0,-0.026,-13.418
CNP,0.017,0.0,-0.017,-13.514
AAPL,0.018,0.001,-0.018,-13.596
BRO,0.013,0.001,-0.013,-13.612
IRM,0.018,0.001,-0.018,-13.658
AMZN,0.019,0.001,-0.019,-13.712
SEDG,0.04,0.002,-0.04,-13.791
ATVI,0.021,0.001,-0.021,-14.102
VICI,0.023,0.001,-0.023,-14.199
LYV,0.023,0.001,-0.023,-14.371
HWM,0.029,0.001,-0.029,-14.496
KR,0.018,0.001,-0.018,-14.541
EXC,0.015,0.001,-0.015,-14.591
PHM,0.022,0.001,-0.022,-14.649
DXC,0.03,0.001,-0.03,-14.657
DISH,0.023,0.0,-0.023,-14.7
NEM,0.023,0.001,-0.023,-14.833
PAYC,0.029,0.002,-0.029,-14.867
MRNA,0.052,0.004,-0.052,-14.925
WRB,0.014,0.001,-0.014,-14.963
JNPR,0.018,0.0,-0.018,-15.009
TER,0.023,0.001,-0.023,-15.055
MCHP,0.022,0.001,-0.022,-15.199
PANW,0.024,0.001,-0.024,-15.214
MAS,0.018,0.001,-0.018,-15.246
NEE,0.014,0.001,-0.014,-15.34
ANET,0.028,0.002,-0.028,-15.45
SLB,0.023,0.0,-0.023,-15.6
FAST,0.017,0.001,-0.017,-15.841
TECH,0.017,0.001,-0.017,-15.895
TTWO,0.022,0.001,-0.022,-15.898
CSCO,0.016,0.001,-0.016,-15.937
OKE,0.028,0.001,-0.028,-16.057
DAL,0.025,0.001,-0.025,-16.059
CFG,0.024,0.001,-0.024,-16.359
AOS,0.016,0.001,-0.016,-16.605
PARA,0.024,0.0,-0.024,-16.627
HRL,0.013,0.001,-0.013,-16.859
INTC,0.019,0.001,-0.019,-17.005
BEN,0.019,0.0,-0.019,-17.03
UDR,0.015,0.001,-0.015,-17.195
CMCSA,0.015,0.001,-0.015,-17.276
APH,0.014,0.001,-0.014,-17.283
SCHW,0.02,0.001,-0.02,-17.357
WY,0.02,0.0,-0.02,-17.387
DHI,0.022,0.001,-0.022,-17.435
AZN,0.015,0.001,-0.015,-17.459
ACGL,0.016,0.001,-0.016,-17.46
PPL,0.014,0.0,-0.014,-17.79
MNST,0.019,0.001,-0.019,-18.139
CAG,0.016,0.0,-0.016,-18.21
LNT,0.013,0.001,-0.013,-18.305
PEAK,0.018,0.0,-0.018,-18.333
BBY,0.025,0.001,-0.025,-18.363
PGR,0.013,0.001,-0.013,-18.47
SYF,0.024,0.001,-0.024,-18.474
INVH,0.017,0.001,-0.017,-18.701
STX,0.024,0.001,-0.024,-18.771
PFE,0.014,0.0,-0.014,-19.089
MS,0.02,0.001,-0.02,-19.22
TRMB,0.021,0.001,-0.021,-19.566
SWKS,0.024,0.001,-0.024,-19.675
LDOS,0.018,0.001,-0.018,-19.784
CMS,0.013,0.001,-0.013,-19.965
ZION,0.021,0.001,-0.021,-19.986
PDD,0.046,0.002,-0.046,-20.005
PWR,0.02,0.001,-0.02,-20.019
CDW,0.018,0.001,-0.018,-20.056
EBAY,0.018,0.001,-0.018,-20.126
NTAP,0.021,0.001,-0.021,-20.143
MO,0.014,0.001,-0.014,-20.255
BALL,0.015,0.001,-0.015,-20.423
EA,0.02,0.001,-0.02,-20.558
HOLX,0.017,0.001,-0.017,-20.558
CF,0.025,0.001,-0.025,-20.59
XEL,0.013,0.001,-0.013,-20.874
TMUS,0.018,0.001,-0.018,-21.025
SEE,0.019,0.001,-0.019,-21.062
GOOG,0.016,0.001,-0.016,-21.219
JD,0.027,0.001,-0.027,-21.245
CARR,0.029,0.003,-0.029,-21.277
GOOGL,0.016,0.001,-0.016,-21.32
TSN,0.018,0.001,-0.018,-21.628
LKQ,0.021,0.001,-0.021,-21.697
AFL,0.016,0.001,-0.016,-21.791
FE,0.016,0.0,-0.016,-21.798
TJX,0.017,0.001,-0.017,-21.809
IR,0.023,0.001,-0.023,-22.078
BR,0.014,0.001,-0.014,-22.171
GM,0.021,0.001,-0.021,-22.177
FISV,0.015,0.001,-0.015,-22.423
EVRG,0.014,0.001,-0.014,-22.685
CTLT,0.022,0.001,-0.022,-22.692
MPWR,0.023,0.002,-0.023,-22.775
